character,gender,id,name
Jake Sully,2,65731,Sam Worthington
Neytiri,1,8691,Zoe Saldana
Dr. Grace Augustine,1,10205,Sigourney Weaver
Col. Quaritch,2,32747,Stephen Lang
Trudy Chacon,1,17647,Michelle Rodriguez
Selfridge,2,1771,Giovanni Ribisi
Norm Spellman,2,59231,Joel David Moore
Moat,1,30485,CCH Pounder
Eytukan,2,15853,Wes Studi
Tsu'Tey,2,10964,Laz Alonso
Dr. Max Patel,2,95697,Dileep Rao
Lyle Wainfleet,2,98215,Matt Gerald
Private Fike,2,154153,Sean Anthony Moran
Cryo Vault Med Tech,2,397312,Jason Whyte
Venture Star Crew Chief,2,42317,Scott Lawrence
Lock Up Trooper,2,986734,Kelly Kilgour
Shuttle Pilot,0,1207227,James Patrick Pitt
Shuttle Co-Pilot,0,1180936,Sean Patrick Murphy
Shuttle Crew Chief,2,1019578,Peter Dillon
Tractor Operator / Troupe,0,91443,Kevin Dorman
Dragon Gunship Pilot,2,173391,Kelson Henderson
Dragon Gunship Gunner,0,1207236,David Van Horn
Dragon Gunship Navigator,0,215913,Jacob Tomuri
Suit #1,0,143206,Michael Blain-Rozgay
Suit #2,2,169676,Jon Curry
Ambient Room Tech,0,1048610,Luke Hawker
Ambient Room Tech / Troupe,0,42288,Woody Schultz
Horse Clan Leader,2,68278,Peter Mensah
Link Room Tech,0,1207247,Sonia Yee
Basketball Avatar / Troupe,1,1207248,Jahnel Curfman
Basketball Avatar,0,89714,Ilram Choi
Na'vi Child,0,1207249,Kyla Warren
Troupe,0,1207250,Lisa Roumain
Troupe,1,83105,Debra Wilson
Troupe,0,1207253,Chris Mala
Troupe,0,1207251,Taylor Kibby
Troupe,0,1207252,Jodie Landau
Troupe,0,1207254,Julie Lamm
Troupe,0,1207257,Cullen B. Madden
Troupe,0,1207259,Joseph Brady Madden
Troupe,0,1207262,Frankie Torres
Troupe,1,1158600,Austin Wilson
Troupe,1,983705,Sara Wilson
Troupe,0,1207263,Tamica Washington-Miller
Op Center Staff,1,1145098,Lucy Briant
Op Center Staff,2,33305,Nathan Meister
Op Center Staff,0,1207264,Gerry Blair
Op Center Staff,2,33311,Matthew Chamberlain
Op Center Staff,0,1207265,Paul Yates
Op Center Duty Officer,0,1207266,Wray Wilson
Op Center Staff,2,54492,James Gaylyn
Dancer,0,1207267,Melvin Leno Clark III
Dancer,0,1207268,Carvon Futrell
Dancer,0,1207269,Brandon Jelkes
Dancer,0,1207270,Micah Moch
Dancer,0,1207271,Hanniyah Muhammad
Dancer,0,1207272,Christopher Nolen
Dancer,0,1207273,Christa Oliver
Dancer,0,1207274,April Marie Thomas
Dancer,0,1207275,Bravita A. Threatt
Mining Chief (uncredited),0,1207276,Colin Bleasdale
Veteran Miner (uncredited),0,107969,Mike Bodnar
Richard (uncredited),0,1207278,Matt Clayton
Nav'i (uncredited),1,147898,Nicole Dionne
Trooper (uncredited),0,1207280,Jamie Harrison
Trooper (uncredited),0,1207281,Allan Henry
Ground Technician (uncredited),2,1207282,Anthony Ingruber
Flight Crew Mechanic (uncredited),0,1207283,Ashley Jeffery
Samson Pilot,0,98216,Dean Knowsley
Trooper (uncredited),0,1201399,Joseph Mika-Hunt
Banshee (uncredited),0,236696,Terry Notary
